Epoch,Learning Rate,Training Loss,Validation Accuracy
1,0.0001,3.274310562759638,88.27783203125
2,0.0001,3.2442262400355606,88.4217758178711
3,0.0001,3.090005724794335,88.4025650024414
4,0.0001,3.0578475780785084,88.72753143310547
5,0.0001,2.925803197754754,88.59273529052734
6,0.0001,2.870621452314986,88.47924041748047
7,0.0001,2.901351792530881,89.2156753540039
8,0.0001,2.7564129336840577,88.04671478271484
9,0.0001,2.752645146101713,89.20433807373047
10,0.0001,2.6754124727514057,89.04431915283203
11,0.0001,2.6814906199773154,89.06243896484375
12,0.0001,2.5773174493677087,89.54898834228516
13,0.0001,2.617019327978293,89.47891235351562
14,0.0001,2.6023552790284157,88.98997497558594
15,0.0001,2.4287789633704557,89.1891860961914
16,0.0001,2.445616486171881,89.68746948242188
17,0.0001,2.5090176148547068,89.8155746459961
18,0.0001,2.3410791282852492,90.1446304321289
19,0.0001,2.2726928554475307,89.61607360839844
20,0.0001,2.337159472207228,88.44371795654297
