Epoch,Learning Rate,Training Loss,Validation Accuracy
1,1e-05,1.2050097301188443,91.25740814208984
2,1e-05,1.1732908460415072,91.52224731445312
3,1e-05,1.157940278450648,91.32196044921875
4,1e-05,1.1459591529435582,91.52105712890625
5,1e-05,1.138581408187747,91.52249145507812
6,1e-05,1.131978963398271,91.50672912597656
7,1e-05,1.127951652639442,91.45228576660156
8,1e-05,1.1215986232790682,91.38117218017578
9,1e-05,1.1154458843585517,91.52009582519531
10,1e-05,1.1112183711181085,91.34784698486328
